800 Hilos 1 Core,800 Hilos 2 Cores,800 Hilos 4 Cores,800 Hilos 8 Cores,1000 Hilos 1 Core,1000 Hilos 2 Cores,1000 Hilos 4 Cores,1000 Hilos 8 Cores,1200 Hilos 1 Core,1200 Hilos 2 Cores,1200 Hilos 4 Cores,1200 Hilos 8 Cores,1400 Hilos 1 Core,1400 Hilos 2 Cores,1400 Hilos 4 Cores,1400 Hilos 8 Cores,1600 Hilos 1 Core,1600 Hilos 2 Cores,1600 Hilos 4 Cores,1600 Hilos 8 Cores,1800 Hilos 1 Core,1800 Hilos 2 Cores,1800 Hilos 4 Cores,1800 Hilos 8 Cores,2000 Hilos 1 Core,2000 Hilos 2 Cores,2000 Hilos 4 Cores,2000 Hilos 8 Cores,2200 Hilos 1 Core,2200 Hilos 2 Cores,2200 Hilos 4 Cores,2200 Hilos 8 Cores,2400 Hilos 1 Core,2400 Hilos 2 Cores,2400 Hilos 4 Cores,2400 Hilos 8 Cores,2600 Hilos 1 Core,2600 Hilos 2 Cores,2600 Hilos 4 Cores,2600 Hilos 8 Cores,2800 Hilos 1 Core,2800 Hilos 2 Cores,2800 Hilos 4 Cores,2800 Hilos 8 Cores,3000 Hilos 1 Core,3000 Hilos 2 Cores,3000 Hilos 4 Cores,3000 Hilos 8 Cores,3200 Hilos 1 Core,3200 Hilos 2 Cores,3200 Hilos 4 Cores,3200 Hilos 8 Cores
1923537,1012563,1180570,1173430,4413379,2094011,1558026,2082716,7140015,4480830,2923131,3135177,11234781,9076869,12170033,5926828,18171689,13888258,7464643,8737068,27909820,18206696,16347465,14002385,45724293,28164452,16300159,17617828,52424826,40702926,25288956,24494192,66397640,55948343,35076205,32929829,97794354,84427789,50124807,42660000,127446956,109800355,64973446,57874140,165620482,139227006,89089471,67927184,257942376,244674955,132239190,115999924
2595964,1022584,797970,767994,3937023,2110619,1919196,2953857,7288270,3855878,3174791,2826764,12686681,9686788,13253857,6494831,16519002,14151216,7732434,9234982,24902711,17097132,13550817,11773995,45036898,29193525,16628570,17536970,52320594,40245731,25238578,24228088,66567301,59656510,36449387,32639193,98616486,81922932,48452903,42564753,128402494,111932268,66545384,63216198,166810772,139294570,88011869,67291418,252663623,237398548,132361806,118316219
2552949,1062561,1451015,1302843,4517652,2189755,2343859,3935612,6777007,4249379,2519387,3500433,11884091,6652424,14284757,6816428,16927237,10857253,7905745,8808943,30912313,18394088,13961892,12784693,44411889,27769061,19665420,17718140,52399189,42012322,25736435,24007379,66897070,57237760,36523717,33135486,99315180,83742635,48847602,42362499,144809286,110041989,66209637,57440496,168122031,139290177,89133399,67719483,256539335,231813553,134882840,117627341
2193581,1097293,1065605,909652,4114183,2284818,1766437,3091688,7372934,3771773,2847843,3049745,12597269,6416375,14171242,7182990,15629688,12734471,7599039,9752772,31596223,18183803,13160541,12488924,42322076,29157206,16738377,17856605,52338427,37947314,25796359,23783822,66039897,57710539,35382727,32393895,98327222,81867857,47976938,42252409,150607075,110784896,64813188,58021904,167291664,140521094,89099808,68502244,259734815,235539057,131035721,116779890
1865520,1089042,730789,1490265,3950064,2382906,2096019,1657534,7000304,4179676,3365456,2537071,11891475,7142106,14006300,6418181,21123065,12120059,7483415,9701734,29792610,16723787,14028402,13929432,42561396,28984875,16921672,17950221,52853501,38414197,25529458,24529863,66229342,61342481,35692530,32606909,97856406,82381775,48870481,41954610,128735597,106750821,65178468,57376275,166239021,135455780,88503664,68213412,253330713,238420932,133095849,118144998
2459647,1172361,1399128,1171405,4226284,2539493,1456498,2232529,6395006,3836207,2615868,3070037,11448325,6738225,16768851,6915026,36295528,11470089,7293856,9297254,31276656,18598314,13668503,12073485,38064219,29118381,19509759,17047309,52655073,42388250,25965792,24465373,66697238,59252827,36395017,33179891,98989790,83256908,48309262,41780640,129275788,109115864,65548812,57745637,167604091,137006549,89919224,67691687,251374208,239469842,131736996,115330585
2148490,1181099,1045361,889793,4421290,2650491,1738747,1809351,6884533,4371355,3132319,3104649,12363401,6420030,17920398,6371449,30727283,11355917,8043984,8865432,30912624,16222044,17072793,12014831,37253055,28462980,20340498,17029575,52365686,40269096,24432939,24308774,68231363,55873775,36690150,32561687,99052254,84731064,49291323,42667071,128526344,113038213,65191537,58898119,168644518,139590042,88639049,68319527,255233005,237204201,132494131,118564161
1758054,1205321,626678,1545793,4505166,2713798,2131432,2210015,7166209,3891299,2570732,3235678,11637243,12676575,13701477,6869704,19197233,10925550,8264055,9549321,33563917,20333794,15520027,11891386,37478343,28542529,20962041,16948566,53188852,39422377,24818139,24087358,65855206,59897461,35515506,33075701,98085819,79586597,48503644,42478157,128513276,111838692,65076824,57164316,166963338,137498180,89929631,68070693,260701488,240866350,130622970,118285991
2367985,1271953,1207743,1179936,4700453,2731130,1636016,1587065,6433053,4456582,3041930,3175845,11920012,6868690,12429807,6749668,20021215,10815465,7826487,9324290,34683894,18872248,15988931,11975883,37734550,29167638,19692163,16911885,52253229,40387864,26040216,24023909,66932213,57212633,38042896,32549583,98285783,82072135,49365382,43137005,129526499,114089727,65964674,57414235,168844334,136882252,87756410,67855301,258795291,230456053,131320867,118560203
2119928,1308641,835805,776431,4393036,2763576,2137887,1904558,6749104,3941108,2465662,2678167,13111923,7440900,10788444,6819853,27129368,12461046,7617802,9053299,31894061,18626906,13802843,12118268,37656760,29223787,16948291,16832298,52624585,42244559,25152442,23770789,66117636,55042744,40685416,33444811,98295618,84916635,49288477,42329925,129421346,115448812,65380373,57952883,167933005,137590608,89545331,67978329,257117927,231805154,133272693,121133847
1839092,1312086,1527254,1357086,4050150,2733688,1594295,2209002,6969357,4329667,2747281,3101556,12106318,7346826,10338130,6976268,24700218,10823431,7993458,8568431,30553913,17639040,18046906,12112429,42697913,28452367,18879484,17863907,52553172,39943363,25667023,24643043,66257227,56174599,36927805,32900356,98403573,82289761,48840734,42193148,128109682,111851644,65414003,58575110,166719494,141483700,83794834,69486217,254351744,228840095,131371883,117879841
2434158,1343414,1218635,904709,3534953,2766729,2081401,1531578,6173282,3768106,3223241,2618913,11595594,6653683,10254905,7201684,25083918,11809041,7294385,8897681,30485423,17615488,21691570,12032605,43958547,27168150,17526557,17795583,52317304,38128118,25509082,24550822,66239657,62072355,34706601,32417271,98353630,83970737,48852695,42206726,128542150,109595160,64730567,58035844,168071267,137616305,84030908,69105232,258605200,243073841,131897802,117099666
2059157,1328502,893551,1430795,4053135,2752538,1504841,1846222,6392338,4161556,2781852,3199766,11051751,6830277,11438429,7338948,24964417,11801902,7204644,9814874,25805073,16449047,22776787,12052011,37275324,28850199,16236419,17731943,52010513,39187001,25410604,24379028,66460110,60291182,35857852,33032711,98069940,81969750,49844126,42239360,129658322,113508303,65937751,57603937,167396822,139299401,83976045,68078355,257568343,232682754,132373372,119077854
1684311,1266345,1553202,1003234,3570953,2784776,1942600,2124315,6628024,3756678,3095645,2765741,10913147,6708692,10162313,6933225,24373588,11504156,6857044,9271371,24487594,18306774,22718628,12056311,37870325,29876764,16543260,17633282,51791160,40924136,25330191,24222550,66524294,57002436,36172516,32502222,97924912,83735103,50664577,42067991,128204778,110947772,64517927,58194383,167044372,134596351,83487694,68371233,253091292,238715649,134112142,118259487
2531959,1335936,1178780,582890,4041038,2927330,2384957,1429566,6817985,4132620,2549936,3328015,11889432,6338200,8781752,7223012,22263228,11868828,8201327,8806842,27480439,17186094,24114660,13349932,38012985,30591752,18163099,17663251,52732083,42168680,25388311,24465587,66523495,59527671,34589971,32911352,98097842,81773803,49160058,42083388,128052078,106421140,66371320,58162384,167404150,140774351,84720873,68596297,256325232,232730477,130858257,114936972
2252451,1439332,820289,1131173,3541668,2928072,1839021,1746490,7022006,3540058,2910548,2877788,12342873,9619901,9211434,6533255,19206837,12416006,7594822,9317146,34209340,17619085,21383246,12137182,37168714,29091716,16407978,17600665,52612074,38901911,24914616,24291068,66598505,56952469,35962884,32624166,99507006,84933413,48591691,42066410,128053897,108081360,65083154,57800478,167732331,135148890,84334798,68477211,261124567,228999097,142326392,117878212
2177182,1591581,1492722,680530,4183864,2929292,2231763,2077454,6351784,3962981,3505429,3317079,10515976,7838906,9077684,6905780,19136571,11044544,8283708,9283459,35478471,16958610,19059201,12021233,37402594,26349826,16826136,17553739,52436962,40006410,24051284,24119724,66434244,59373887,35234668,33314728,98201152,77571655,48925651,41845652,128888044,112283779,64618038,58406591,167683678,144750019,83391286,68151261,252789415,234240005,134717673,119134094
1884010,1512628,1118865,1273848,3763306,2945638,1561570,1396642,6884006,3467665,2881865,2757177,10641835,10324037,8454666,6449617,24804478,12212636,7865985,9270344,30150004,15823529,16173525,11865205,37543207,27475790,17948123,17664388,52338313,42660516,26110382,23928919,66485807,57433693,35219516,35052858,98089799,86854653,48762040,42295922,127856273,112967753,66395985,58830182,168349495,144171511,84108873,68028831,257141498,238183864,131076052,118778491
2147854.3,1328873.067,1096027.267,1067918.667,4147128.567,2535448,1841319.933,2096114,7320282.9,3927070.7,2861080.2,2968457.267,11659920.37,8234236.267,10908250.07,6710264.1,22346813.67,12124046,8437389.867,9161648.533,31866517.03,17865727.17,14674716.6,12493168.27,44355605,28660981.87,17079182.03,17398687.93,52954874.97,40866358.8,25069015.9,24192056.37,66824196.37,58270361.4,35580340.43,32885715.7,98419570.63,82321243.9,48415854.9,42293577.63,129422331.4,111644319.9,64805171,57011620.37,169766875.3,138799275.7,87200179.83,68076140.23,256586402.2,235419877.8,132425859.7,117943463.4
