800 Hilos 1 Core,800 Hilos 2 Cores,800 Hilos 4 Cores,800 Hilos 8 Cores,,1000 Hilos 1 Core,1000 Hilos 2 Cores,1000 Hilos 4 Cores,1000 Hilos 8 Cores,1200 Hilos 1 Core,1200 Hilos 2 Cores,1200 Hilos 4 Cores,1200 Hilos 8 Cores,1400 Hilos 1 Core,1400 Hilos 2 Cores,1400 Hilos 4 Cores,1400 Hilos 8 Cores,1600 Hilos 1 Core,1600 Hilos 2 Cores,1600 Hilos 4 Cores,1600 Hilos 8 Cores,1800 Hilos 1 Core,1800 Hilos 2 Cores,1800 Hilos 4 Cores,1800 Hilos 8 Cores,2000 Hilos 1 Core,2000 Hilos 2 Cores,2000 Hilos 4 Cores,2000 Hilos 8 Cores,2200 Hilos 1 Core,2200 Hilos 2 Cores,2200 Hilos 4 Cores,2200 Hilos 8 Cores,2400 Hilos 1 Core,2400 Hilos 2 Cores,2400 Hilos 4 Cores,2400 Hilos 8 Cores,2600 Hilos 1 Core,2600 Hilos 2 Cores,2600 Hilos 4 Cores,2600 Hilos 8 Cores,2800 Hilos 1 Core,2800 Hilos 2 Cores,2800 Hilos 4 Cores,2800 Hilos 8 Cores,3000 Hilos 1 Core,3000 Hilos 2 Cores,3000 Hilos 4 Cores,3000 Hilos 8 Cores,3200 Hilos 1 Core,3200 Hilos 2 Cores,3200 Hilos 4 Cores,3200 Hilos 8 Cores
2144671,1306299,976576,937096,,4828260,3106934,1497611,2334106,7121686,3551757,2483371,2621343,13403530,6910014,3682637,3218728,28100502,14461296,7483465,7005450,47850503,23889698,12235738,10929685,67552557,33306232,17270457,16080203,97440008,49070461,24720052,21825990,129151530,63313275,32514538,28671769,164424999,82704939,41925970,37565287,211078026,98899838,50886554,44807517,257214101,132930444,66068641,59021245,353557558,167862098,80048924,71366640
1794393,1136322,1421889,1478699,,5212007,2224450,1621715,1888514,7310641,3959768,2195147,2306730,13471117,7401418,3809455,3308848,29033333,14355109,7521778,6730151,47715237,24404936,11902382,11409115,67128751,33449335,17205336,15615367,96579984,48375387,25330776,22475049,131091363,62709252,32404547,29468158,164572284,82976584,41225404,37303377,213748180,99206985,49811920,45524383,256766343,131840884,68224528,59246559,358359810,168969876,78165895,71776370
2436433,994269,878665,960902,,4553744,2377586,1771137,2568101,7060628,4383728,1936386,1980954,13349911,6825038,3956791,3343105,28742009,14392777,7611419,7241592,47538534,23850509,12601986,10711320,66475503,33795527,16851934,16067613,97199638,48837298,24820061,21874717,131173089,62858839,32514334,29311502,164715916,81737814,41492787,36906302,213114209,99678440,51298781,45763446,257218196,132134845,66626693,58974319,357248327,163899237,78484013,72457004
2085628,859063,1346900,1543537,,4991509,2490259,1898348,2292722,6739777,3777543,2685439,1710423,13425330,7123154,4056908,3343557,29309431,14403038,7658086,6843219,47290722,24228195,12322512,11119115,67491177,33974095,17771364,15141024,95822425,48952416,25329065,22794098,129716850,63092421,32599150,29228755,166047507,82650901,41910627,36278988,214115058,100138816,50313764,45454495,256921271,134752277,68062808,57954438,357446725,166094680,78686704,71738188
1744647,1703217,804862,1019629,,4343742,2703393,2098607,1686134,7793048,4089115,2531615,2577587,13503971,6823942,3193800,3458546,28886226,14530656,7516853,7262955,47228343,23651041,11991652,10678698,67742754,32859743,17650681,15089808,96582681,48228743,24924300,22626663,131904100,62650260,32709116,28930524,164238805,82391519,41163072,37028913,211618491,100288072,50287325,45807507,273204242,133420061,67274254,57697595,359926399,167389721,79174304,71527274
2378823,1552633,1281605,527289,,4677929,2969380,1252877,2263983,7540832,3695577,2271857,2298395,13630830,7270929,3353651,3557485,29610756,14362147,7614543,6802119,46835669,24074534,11762566,11287935,66502667,34228972,17852990,15151276,96225380,48826130,24478168,22122798,131725410,62685873,33011831,28902921,164602383,81803762,41273378,36733598,211946482,100620273,50492938,45251543,274501928,132647728,67456215,59188666,357552913,170102319,78858631,71307859
2046185,1386924,752645,1051780,,5213447,3200818,1428102,1819049,7388931,4030609,1981123,2086792,13832565,6747435,3561436,3732102,29036070,14172310,7656528,7263378,47676936,23660740,12620968,10830886,67318125,33003008,17797873,15381065,96390274,49481709,25106542,21631664,132336468,62605806,31938127,28761896,165215676,82467685,41443445,37474614,211623828,100896887,50917521,44065481,270062014,133279311,67698626,58187130,369563707,166326754,78498826,71894996
1686776,1215150,1221421,564220,,4448447,2390016,1649218,2164802,7225675,3407278,1727987,1862269,13654649,7219771,3785182,3864198,29035906,14270850,7578558,6813520,48612902,24202196,12456263,11524400,67184913,32774270,17948380,15615882,95777801,48709115,24688004,22010748,131380599,63575261,31655119,29301713,165518881,81923837,41867446,37134699,210974777,100347617,50315998,44077006,265622877,133474758,68664368,58742122,353016054,167927188,81355538,71258623
2336308,1055313,685547,1018889,,4742724,2567120,1848088,1835050,6946573,3909676,2509821,2573883,13262853,6644252,3873604,3931536,28629675,14103382,7578367,7340102,49730999,23577289,12178617,10869530,67548622,33853991,16831455,15626557,96728794,48472708,25359448,21714084,131035158,62629940,32725969,29185504,164414765,81868476,42198332,36734312,209369014,101337800,50530871,44323679,265653735,132411344,68129488,59233404,358997076,166967302,78783185,72022546
2043757,905622,1144155,486523,,5143045,2753653,1940735,2602397,8081388,4231597,2293305,2310638,13364638,7116101,3900067,3985663,29330414,14205161,7554362,6838074,48056694,24207568,11941991,11265453,67394864,33897542,17990729,15855640,96857854,48382248,24963586,22438151,130291583,63584606,33017088,28869776,164949612,82571412,41574050,37489614,211079562,101351351,50749016,45294724,265164281,134556334,67171359,58578456,368152786,166146994,78982410,70918017
1702976,1767787,579577,931300,,4355937,2919401,2031121,2184769,7171938,3714306,2010216,1990851,13368098,6512839,4087888,3055971,28455304,14131133,7537553,7477361,47055384,24136474,11858393,10740980,66628431,34320490,17207720,15797877,96527549,48384239,24275498,21926069,131091932,63555622,32164020,29473749,164954097,82663443,41805446,37278494,209707957,100310599,50985760,45000826,264787191,134627290,66821522,58202569,358263913,166825787,78016861,70386012
2342405,1618665,1033279,1440733,,4709136,3204260,1263513,1322518,6852608,4278938,1750608,1670025,13059970,7123645,3274618,3158919,29618870,14187390,7442414,7049727,46930220,24147892,12720594,11287084,66399775,34126052,17242331,15753496,96184863,48501086,24749072,21778907,130514441,63453284,32436810,28927219,165529014,82583926,42071593,37245518,210964893,100800495,50203370,44092344,265886511,133349719,67527306,58451384,359464087,168568795,79061315,71745937
2004729,1465229,530648,1015643,,4996221,2427086,1412654,1462219,7775429,3669100,2481076,2394104,12975475,6647616,3399616,3239950,29689216,14107195,7486854,6481707,46817622,23668349,12507453,10426343,67373455,33776781,17194375,15972313,96468869,48917059,25138674,22378989,130102124,63781222,32363132,28552990,164937937,83104360,41410644,37025398,210312238,102074377,50723345,44576079,264588307,133542199,67047109,58396184,349787077,166979832,78336068,72517456
2086782.6,1321568.1,976481.7333,985699.1,,4822997.9,2711073.6,1665117.6,1953116.067,7467357.5,3943135.233,2244197.967,2161421.7,13468902.93,6901874.1,3651737.733,3546706.1,29137693.8,14373128.97,7286762.633,6988323.3,47474019.33,24009693.77,12255481.3,10915891.93,66540155.1,33701169.93,17428401.97,15537481,96127554.4,48698371.73,24824169.37,22053762.97,131357333.9,63287140.3,32301606.3,29034243.67,165238358,82401300.2,41658743.57,36955476.43,211248051.1,102054902.8,50524614.97,44925037.57,257932792.8,132524367,67265876.73,59532717.53,357496668,168280774.9,79043311.03,72920976.4
